conversation_id,agent_id,prompt_version,resolution_rate,compliance_score,information_capture_rate,handoff_quality,conversation_efficiency,overall_score,compliance_violations,timestamp
9d66054d-f38a-49f5-928c-59663a4f3380,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 03:25:18 GMT+0530 (India Standard Time)
c104160f-9b55-4f22-8cc6-0437f3a2eacd,assessment,v1,0,0,0,10,2,1.2,"Failed to obtain initial debt acknowledgement from the borrower.; Agent did not adhere to the debt collection process and gave the borrower a clear path to escalate the issue to the consumer financial protection bureau.",Fri May 22 2026 03:25:30 GMT+0530 (India Standard Time)
07fd375c-a28c-4d3d-a7f5-b7b08405e1e5,assessment,v1,8,6,0,9,6,6.1,"Failed to explicitly ask for account balance; Failed to provide clear information about the hardship program before discussing account details; Failed to ask for employment status and income confirmation in a timely manner",Fri May 22 2026 03:25:49 GMT+0530 (India Standard Time)
bd995ed5-87bc-4e18-a254-b7ea9165b9c1,assessment,v1,8.5,7,9,5,7,7.625,"Failed to ask for hardship type before asking for specific hardship reasons (job loss)",Fri May 22 2026 03:25:59 GMT+0530 (India Standard Time)
8d197c99-9ee9-4060-bf6f-06ee58772032,assessment,v1,0,6,0,5,0,2.3,"Failed to verify identity; Failed to provide proof of account existence; Continued conversation despite refusal of contact and intimidation claims; Did not end conversation immediately after refusal of contact",Fri May 22 2026 03:26:10 GMT+0530 (India Standard Time)
5b59ea94-a1dc-4fa1-b4e6-f589751d167a,assessment,v1,8,7,6,5,8,7.1,"Failed to follow up on account balance confirmation after multiple attempts; Did not request explicit consent before discussing employment status; Did not clearly explain all options available under hardship assistance program; Did not verify debtor's understanding of terms",Fri May 22 2026 03:26:25 GMT+0530 (India Standard Time)
556ec338-cabb-4d00-bb7c-7354d1762e94,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 03:26:36 GMT+0530 (India Standard Time)
b26ae30a-ce83-486d-975f-17aec2c1ef42,assessment,v1,0,6,0,5,3.5,2.65,"Failed to verify account details; Failed to obtain identity verification; Did not follow the CFPB protocol on debt collection; Repeatedly documented borrower's emotional state incorrectly; Did not update the assessment output accurately; Did not attempt to resolve the situation",Fri May 22 2026 03:27:04 GMT+0530 (India Standard Time)
1c5a8292-5fff-4331-8419-d4f168efb1d4,assessment,v1,7,9,10,10,6,8.25,"Repeatedly verifying account number without explanation; Asking for balance multiple times; Failure to directly address borrower's debt confusion",Fri May 22 2026 03:27:22 GMT+0530 (India Standard Time)
13fc02a0-ae06-4ee3-b0be-7f983a2ec739,assessment,v1,8.8,8.2,8,5,8.5,8.09,"Failed to verify the last 4 digits of the account number upon initial confirmation; Failed to clearly ask for employment status initially",Fri May 22 2026 03:27:34 GMT+0530 (India Standard Time)
